intent,query,answer
일반상식,누르 미사일은 어느 나라 거야,이란
일반상식,유병수가 알힐랄에서 이적한 팀이 어디야,러시아 프리미어리그 FC 로스토프
일반상식,삵은 주로 어느 지역에 분포하지,"동남아시아, 대한민국, 시베리아 지역"
일반상식,1차 펠로폰네소스 전쟁이 끝난 이유가 뭐야,기원전 421년에 니키아스 평화조약이 체결
일반상식,아일랜드 선거구 위원회의 부문 조직은 뭐가 있어,"노동 청년, 노동 여성, 노동 평등, 노동 노조, 노동 지방의원"
일반상식,헤이안 신궁이 뭐야,신사로 황실을 찬양하고 교토에 처음과 마지막으로 살았던 황제를 기념하기 위한 것
일반상식,요르단이 다른 나라의 원조에 의존하는 이유가 뭐야,경제규모가 영세하여
일반상식,이수영은 어떤 음반 덕분에 2004년 골든디스크 대상을 받게 되었지,Classic the Remake
일반상식,별을 이루는 물질들이 이온화되어 있어야 한다고 제안한 게 누구지,제임스 홉우드 진스
일반상식,SV 베르더 브레멘에서 부바카르 사노고와 주전 경쟁해서 이긴 선수는,클라우디오 피사로
일반상식,지방단체가 중앙통제의 강화를 불가피하게 하는 중요한 요인이 뭐야,지방단체의 재정난
일반상식,아 포르게투자가 정식으로 포르투갈의 국가로 지정된 날이 언제지,1911년 6월 19일
일반상식,해나 바베라를 인수한 회사가 어디야,워너브라더스
일반상식,대한민국 4대강 정비사업을 시작한 대통령 이름이 뭐야,이명박
일반상식,그린란드는 농사지을 수 있는 땅이 얼마나 돼,2%
일반상식,만화 메이저의 작가가 누구야,미쓰다 다쿠야
일반상식,시게노리의 독문과 졸업성적은 어땠대,동급생 6명 가운데 꼴찌
일반상식,윌리엄 헨리 브래그는 어느 대학을 졸업했어,케임브리지 대학
일반상식,신당권파에 소속된 사람은 누구야,유시민 심상정 조준호등
일반상식,조선 시대 소격서를 없앤 사람은 누구야,조광조
일반상식,부츠 장군 천국에 들어가다 작품은 어느 책에 소개됐어,포이트리
일반상식,야스지로가 만든 희극 무성영화가 뭐야,《대학은 나왔지만》 (1929) 이나 《태어나기는 했지만》 (1932) 등
일반상식,알마게스트가 총 몇 권이야,13권
일반상식,토머스 브래들리가 1984년에 무슨 상을 받았어,스핑건 메달
일반상식,도자와 마사쓰구의 아버지는 누구지,도자와 마사치카
일반상식,Second Episode가 발표될 때 제외된 노래는 누가 부른 노래였어,객원멤버인 '황재혁'
일반상식,모리오카 번은 일반적으로 뭐라고 불려,난부 번(南部)
일반상식,코덱스 레기우스는 어떤 종이에 기록되어 있어,양피지
일반상식,아마미야 카린이 누구야,일본의 반전 평화 운동가
일반상식,유구의 아버지가 누구지,유숙료(劉叔遼)
일반상식,매스컴은 현대 사회에 어떻게 영향을 주게 돼,지배 계급의 손에 장악되어 있어 일방적으로 대량의 커뮤니케이션을 전달
일반상식,절대 가련 칠드런에서 PK는 무슨 말의 약자야,Psycho Kinesis
일반상식,아마존 프린트 서비스를 이용해서 주문할 수 있는 제품은,사진 프린트와 포토북
일반상식,인류가 치즈를 만들었다는 가장 오래된 증거는 어디서 발굴되었어,폴란드 쿠야비 지방
일반상식,드라마 눈의 여왕의 내용이 뭐야,안데르센의 동화 '눈의 여왕'을 모티브로 하여 절망적인 상황에 처한 두 남녀가 운명적 사랑을 통해 진정한 자아를 발견하는 내용
일반상식,제임스 1세는 메리의 시신을 어디에 안치했어,웨스트민스터 사원
일반상식,메이저 마지막 시즌은 몇 기야,6기
일반상식,대한민국 제2의 도시는 어디야,부산광역시
일반상식,지구와 TrES 4b까지의 거리는,1400광년
일반상식,늘보로리스를 소개한 우리나라 방송 프로그램은,"SBS TV의 정글의 법칙 in 보르네오와 EBS 하나뿐인 지구, TV 동물농장"
일반상식,운현궁의 4대 종주 이우가 친일인명사전에서 제외된 이유는,볼모의 처지였다는 사실을 감안하여
일반상식,변안렬은 어떤 사람이야,"지조가 맑고 높았으며 기국과 도량이 넓고 컸으며, 문장에 능통하였고 무에 뛰어났다"
일반상식,인디애나폴리스 500에서 우승자를 가르는 기준은,500마일(약 800킬로미터)을 누가 가장 빨리 달리는가
일반상식,오왕의 빈객인 주구는 원래 어디 사람이야,하비
일반상식,불교의 천상도가 뭐야,"불교에서 중생이 깨달음(구경각)을 증득하지 못하고 윤회하여 다시 태어날 때, 전생에서 지은 선업 또는 악업의 총합에 따라 그 과보로서 현생에서 태어나는 세계 또는 의식 상태 또는 존재 상태인 지옥도(地獄道)아귀도(餓鬼道)축생도(畜生道)아수라도(阿修羅道)인간도(人間道)천상도(天上道)의 6도(六道) 중 하나"
일반상식,적벽대전은 언제 있었던 일이야,208년
일반상식,소련 공산당 정치국의 정식 명칭은 뭐야,소비에트 연방 공산당 중앙위원회 정치국
일반상식,힝크마르 대주교와 교황 니콜라오 1세는 뭘 두고 싸웠어,교황의 특권과 관련된 문제
일반상식,홋타 마사스케가 죽은 후에 누가 그 뒤를 이었어,여섯째 아들인 마사나리
일반상식,2011년 2월 13일 그래미 상에서 레이디가가가 부른 노래 제목이 뭐야,Born This Way
일반상식,월터 크라이슬러의 자서전은,한 미국 근로자의 삶
일반상식,단국대학교 의과대학 부속병원의 개원일이 언제야,1994년 4월 29일
일반상식,민족대표 48인 중에 친일파로 불리는 사람이 누구야,최남선과 현상윤
일반상식,리카 라이니슈가 모스크바 올림픽에 참가할 당시 나이가 몇살이야,15세
일반상식,에도 시대에 에도 방언이 새로 나타나기 전까지 사용되면 일본 표준어가 뭐야,긴키 방언
일반상식,줄리앤 무어의 남편은 누구야,영화 감독 바트 프룬디치
일반상식,통차는 언제 만들어졌어,조선 세종 때
일반상식,아프가니스탄 민주 공화국의 제 1대 혁명평의회 의장이 누구야,누르 무함마드 타라키
일반상식,야마쿠라 가즈히로는 언제 태어났어,1955년 9월 2일
일반상식,화성 이름 누가 지었어,정조대왕
일반상식,1960년 4월에 개국한 라디오 방송 이름이 뭐야,도카이 라디오 방송
일반상식,크리스티나 아길레라가 나왔던 오디션 프로그램 이름이 뭐야,스타 서치
일반상식,Hold The Line의 피처링을 한 가수가 누구야,조PD
일반상식,타키 앗딘이 증기 기관을 언제 만들었는데,1551년
일반상식,고평릉의 변은 사마의가 누구에 대항해서 일으킨거야,조상(조상 (조위)) 형제
일반상식,유럽찌르레기의 알이 부화하는데 얼마나 걸려,2주 정도
일반상식,가스라이팅을 이론으로 만든 사람은,로빈 스턴
일반상식,휴스가 동하계 올림픽을 합쳐서 몇 개의 메달을 땄지,6개
일반상식,북한의 대학평의회는 누구로 구성되어 있어,당과 사회단체 간부들
일반상식,코치먼의 이름이 올라간 명예의 전당은 어디야,"1975년 미국 육상 명예의 전당, 2004년 미국 올림픽 명예의 전당"
일반상식,저장 성 인구가 몇 명이야,"2004년 기준, 4720만 명"
일반상식,크립테로니아과 식물은 몇개의 속과 종이 있지,3개 속 10여 종
일반상식,로버트 게이츠는 노무현을 뭐라고 표현했어,"반미적이고 약간 미친""인물"
일반상식,현재 조선호텔 명예회장이 누구야,정재은
일반상식,백제의 귀족회의를 뭐라고 해,정사암 회의
일반상식,살찐꼬리저빌과 생김새가 닮은 동물이 뭐가 있지,햄스터
일반상식,독일 제약회사 바이엘이 개발한 유명한 약은,아스피린
일반상식,수원 삼성 블루윙즈는 언제 창단했어,1995년
일반상식,MBC 베스트극장의 방송기간을 알려줘,1991년 7월 7일부터 2007년 3월 10일
일반상식,영국 공군이 엠파이어 비행정을 어떤 용도로 썼어,대잠 초계와 수송기
일반상식,DAYS의 작가는 누구야,야스다 츠나요시
일반상식,조선일보의 문자보급운동의 주된 내용은 뭐지,민족투쟁에 대한 기사를 많이 실었으며 일본의 식민지 통치에 대해서도 비난적이거나 중립적인 기사가 90% 이상
일반상식,배틀 피버 J는 몇 편부터 나와,작품의 7화와 《고속전대 터보레인저》의 10 전대 기념편인 1화
일반상식,김일성대학이 세워진 게 언제야,1946년 10월 1일
일반상식,존드 2호는 언제 발사된거야,1964년 11월 30일
일반상식,교황 호르미스다가 제시한 조건을 모두 수용한 황제가 누구야,유스티누스 1세
일반상식,순천대학교가 4년제가 된 게 언제야,1982년
일반상식,헬름홀츠 협회는 몇 개의 대형 연구소를 묶어놓은 기관이야,18개
일반상식,타블로의 친형이 누구야,데이브
일반상식,염색체 분리가 뭐야,각각의 염색체 쌍이 분리되는 것
일반상식,변동림이 서양화가로 등단한건 언제야,1964년
일반상식,중국 자라가 주로 사는 곳은,밑바닥이 개흙으로 되어 있는 하천이나 연못
일반상식,옥룡동은 백제시대에 어디어 속했었어,웅천
일반상식,베이징에 위치한 하늘의 신전이라고 불리는 건축물이 뭐야,천안문(톈안먼)
일반상식,리오 데 라플라타는 독립 후 이름을 뭐라고 바꿨어,아르헨티나라
일반상식,텐진 갸초는 어느 나라 사람이야,티베트
일반상식,첫 뮤지컬로 여기는 작품이 뭐지,거리에서
일반상식,한라산 오름이 뭐야,기생 화산
일반상식,1973년 6.23 외교선언을 한 대통령은 누구야,박정희
일반상식,알바로2세는 몇년도부터 콩고 왕국 군왕으로 올랐어,1587년
일반상식,삼일운동 때문에 일본에서 재판받은 사람 숫자는,48명
일반상식,부처를 상징하는 동물은,사자
일반상식,이와쿠라 히로후미가 중의원 당시 소속되어 있던 파는,하시모토 파
일반상식,아카데미 시상식에서 상 받은 애니메이션 영화가 뭐야,미녀와 야수
일반상식,"총,균,쇠는 누가 쓴 책이야",재러드 다이아몬드
일반상식,카슈카다리야 주는 어디에 있는거야,우즈베키스탄 남부 카슈카다리야 강 기슭과 파미르 산맥 서쪽 경사지
일반상식,태안 몽산리 석가여래좌상은 언제 제작된 걸로 추정돼,통일신라시대
일반상식,알바루 시자 비에이라가 울프 예술상을 받은 건 언제야,2001년
일반상식,아르놀피니 부부의 초상화 누가 그렸어,얀 반 에이크
일반상식,로얄즈 축구단은 어디에서 인수했어,현대산업개발
일반상식,유주닷컴의 한국 합작법인은,유주코리아
일반상식,광종 때 소작농을 노비처럼 부리는지 어떻게 감시했었지,어사대의 관리와 측근 세력을 파견하여 감시
일반상식,드로스닌이 성서에 써있었다고 주장하는 사건은,"이츠하크 라빈의 피살,9.11 테러, 클린턴의 스캔들 등"
일반상식,어슐라가 변신한 여자의 이름이 뭐야,바네사
일반상식,김자인은 언제 태어났어,1988년
일반상식,독일철도가 처음 개통한 구간이 어디야,남부 바이에른의 뉘른베르크-휘어튼간
일반상식,정몽주와 이성계가 사이가 틀어진 이유가 뭐야,고려 사회의 체제를 지키려 한 정몽주와 역성혁명을 도모하던 이성계
일반상식,강화도 조약 언제야,1876년
일반상식,1932년 LA 올림픽에서 맥노턴이 우승할 수 있도록 코치해준 사람은,밴 오스덜
일반상식,축구감독 헤킹이 VFB뤼베크 클럽을 떠난게 언제야,2004년 5월 25일
일반상식,애니메이션 터치를 방영한 방송사가 어디야,후지 TV
일반상식,세계 최초의 부락은 어디야,차탈회윅
일반상식,Dancing Queen 대신 타이틀 곡으로 선정된 곡이 뭐지,Gee
일반상식,참다랑어는 어떻게 생겼어,"몸은 유선형으로 살이 쪘고, 머리는 원뿔모양이며, 꼬리자루는 가늘다"
일반상식,요한 야콥 프로베르거의 아버지의 이름이 뭐야,바질리우스
일반상식,마르첼로 2세의 후임자는,잔 피에트로 카라파
일반상식,팅커가 어느 리그에서 프로데뷔했어,마이너 리그 베이스볼
일반상식,공리는 누구 밑에서 공부했지,증자
일반상식,돈대는 어디에 설치 돼,영토 내 접경지역 또는 해안지역의 감시가 쉬운 곳
일반상식,메이저 리그 사커 MVP 어워드의 바뀐 이름은,랜던 도너번 어워드
일반상식,나일 해전은 어떻게 끝나,영국 함대에 프랑스 함대가 대패
일반상식,캐럴 댄버스가 나오는 실사판 영화 제목은,캡틴 마블
일반상식,최규하는 왜 518 증언을 왜 피했어,그 사유를 밝히지 않는 것은 전직 대통령이 증언에 응하는 악례를 남기지 않는 것
일반상식,2009년에 문정왕후의 금보를 전시한 박물관이 어디야,LA의 라크마 박물관
일반상식,장수풍뎅이는 무슨 색이니,밤색
일반상식,LG사이언스 홀 이용시간이 어떻게 되지,"주중에는 오전 9시 ~ 오후 6시, 토요일에는 오전 9시 ~ 오후 5시 운영"
일반상식,1차 보어 전쟁은 언제 일어났어,1880년 12월 16일
일반상식,위치추적중앙관제센터로 가려면 어디로 가야해,서울특별시 동대문구 휘경2동 43-1 서울보호관찰소 내
일반상식,온타리오 주의회는 몇 개의 지방 자치 단체를 묶어 더럼 지역에 편입시켰어,8개의 지방 자치 단체
일반상식,make a secret은 누가 부른 노래지,보아
일반상식,송혜교는 영화 오늘을 통해서 어떤 평을 받았어,"다혜가 겪는 혼란과 슬픔, 그리고 그 끝에서 찾아낸 찬란한 감동을 그려냈다"
일반상식,노포크는 샤른호르스트의 뭐를 파괴시켰지,주 레이다 안테나
일반상식,미국의 3번째 대통령은 누구야,토머스 제퍼슨
일반상식,영국 뮤지션 MIA의 프로듀서가 누구지,스위치
일반상식,앨라배마 주에서 유일하게 바다를 접하는 항구도시는,모빌
일반상식,몇 명의 연구원들이 미생물자원센터의 균주를 관리하지,15명
일반상식,지금까지 유행성 콜레라가 발생한 게 몇 번이야,7 차례
일반상식,김집의 아버지가 누구야,학자 사계 김장생
일반상식,와라 편의점 디 애니메이션은 어디에서 연재해,네이버 웹툰
일반상식,우크라이나 가톨릭 교회에서 가장 큰 규모의 교회를 알려줘,우크라이나 그리스 가톨릭교회
일반상식,신뢰성 공학에는 어떤 기술이 사용돼,"신뢰성 예측,  Weibull 분석, 열 관리, 신뢰성 검사 및 수명 가속 시험 등"
일반상식,몽골 국영 텔레비전 방송국은 언제 세워졌어,1967년 9월 27일
일반상식,삼공구경이 뭐야,중국 진한 시대의 행정관직의 총칭
일반상식,김나영이 처음으로 피겨 대회에서 우승한 게 언제야,"2008년 1월, 김연아가 출전하지 않았던 KB국민은행 피겨스케이팅 챔피언십"
일반상식,의왕시의 가장 큰 비중을 차지하는 산업이 뭐야,상업 및 서비스업(3차산업)
일반상식,킹오브파이터에서 아테나의 직업이 뭐야,아테나
일반상식,제 94대 교황이 누구야,스테파노 3세
일반상식,비틀즈 해리슨이 폐암으로 죽은 게 언제야,2001년
일반상식,원티드 연출자가 누구야,짐 렘리
일반상식,부산시네필상의 상금이 얼마야,5백만원
일반상식,All You Need Is Love을 작곡한 사람이 누구야,레논-매카트니라는 이름으로 존 레논이 작곡
일반상식,재판권의 주체가 누구야,법원
일반상식,지단이 코치직을 요청받은 이유가 뭐야,신임 감독인 조제 모리뉴로부터 팀에서 더 가까이 일하기 위해
일반상식,레기아 바르샤바를 대우그룹이 인수한 연도는,1997년
일반상식,이희맹의 시호는,문안
일반상식,이스라엘이 갖고 있는 핵탄두는 몇 개야,약 300개
일반상식,김윤아가 있는 그룹 이름이 뭐야,자우림
일반상식,국제 연맹이 뭐지,IPC로 부터 승인받은 독립 스포츠 협회이며 패럴림픽 스포츠 중 한 종목의 단독 대표자
일반상식,마인하트를 펜싱 장학생으로 받아 준 학교는,노터데임 대학교
일반상식,티토주의가 뭐야,티토의 자주적인 정치노선
일반상식,전동성당이 완공된 연도가 언제야,1931년
일반상식,서태지는 자신의 7집에 담긴 노래들을 뭐라고 불렀어,감성코어
일반상식,한자어 조령의 뜻이 뭐야,새도 날아 넘기 힘든 고개
일반상식,이런 영웅은 싫어가 어디 웹툰이야,네이버 수요 웹툰
일반상식,광평이라는 지명의 유래 말해줘,마을 앞에 ‘넓은 들’이 있다하여 ‘광평’이라 부르게 되었다
일반상식,가오싱젠이 몇 년도에 노벨 문학상 탔어,2000년
일반상식,에도가와 코난이 누구야,아오야마 고쇼의 만화 · 텔레비전 애니메이션 · 드라마 작품 《명탐정 코난》에 등장하는 가공의 꼬마 탐정
일반상식,루 게릭의 아내는 누구야,엘리너
일반상식,시리아에서 군대를 안가려면 얼마내,30만 시리아 파운드(한화로 약 6000만원)
일반상식,영화 타운의 감독이 누구야,벤 애플렉
일반상식,김영삼 정부는 언제부터야,1993년
일반상식,무쇠인간이 뭐야,"독일 둔스텐코벤에서 북동쪽으로 약 이 킬로미터, 라인란트 국립공원 숲 속에 부분적으로 묻혀 있는 오래된 철기둥"
일반상식,OMIM에 기록된 배부름 재채기의 공식 명칭은,GASTRIC SNEEZING(위 재채기) 또는 STOMACH SNEEZE REFLEX(배 재채기 반사)
일반상식,북미 지역 최초의 스쿼시 코트가 만들어진 연도를 알려줘,1884년
일반상식,The Beatles 앨범은 어떻게 두번 발매됐어,"한 번은 캐피톨 레코드, 한 번은 팔로폰"
일반상식,더페이스샵 지분의 70%를 인수한 홍콩의 사모펀드가 어디야,어피니티 이쿼티 파트너스
일반상식,중국 오대십국 시대의 후주의 마지막 황제는,시종훈
일반상식,윈도우 파워셸이 지원하는 윈도우엔 뭐가 있어,"윈도우 XP, 윈도우 서버 2003, 윈도우 비스타, 윈도우 서버 2008, 윈도우 7, 윈도우 8, 윈도우 8.1, 윈도우 10,윈도우 서버 2012, 윈도우 서버 2008 R2를 모두 지원"
일반상식,키프로스 섬의 남부와 서부를 지나는 산맥은,트로도스 산맥
일반상식,조선 최후의 대원군은,흥선대원군
일반상식,911테러를 일으킨 단체가 어디야,알 카에다
일반상식,2014년 민주항쟁당은 총선에서 얼마나 득표했지,18.95%
일반상식,모하메드 파라 아이디드는 몇 년도에 암살되었어,1996년
일반상식,창원시의 행정구역은 어떤 기준으로 나뉘어졌지,국회의원 선거구를 기준으로 획정
일반상식,동티모르는 어떤 나라야,동남아시아의 티모르 섬에 위치한 공화국
일반상식,TEKKEN STRIKE가 공식으로 언제 개최됐지,2013년
일반상식,소설 레 미제라블의 저자는 누구야,빅토르 위고
일반상식,페르디난트 3세의 황후가 누구야,마리아 아나
일반상식,술라는 언제 귀족파를 규합했지,기원전 83년
일반상식,더블배틀이 도입 된 포켓몬스터 게임은 뭐야,포켓몬스터 루비·사파이어
일반상식,한국의 출산율을 알려줘,2017년 기준으로 출산율은 한가구당 1.03명
일반상식,그리스어로 육의 욕망을 뭐라고 해,프로네마 사르코스
일반상식,철상지옥이 뭐야,못이 빽빽히 박힌 침상이 있는 지옥으로 평등대왕의 심판에 통과하지 못한 중생들이 떨어지는 지옥
일반상식,노르웨이 국가 원수가 누구야,하랄 5세
일반상식,아델의 Hello 노래가 수록되어 있는 앨범 제목 알려줘,25
일반상식,백남기가 민주화운동을 벌인게 몇년도야,1980년
일반상식,PJ 핍즈 결성년도는,2000년 경
일반상식,양각도가 어디에 있는지 알려줘,조선민주주의인민공화국 평양직할시 중구역
일반상식,겨울연가는 어디서 촬영했어,명동거리
일반상식,돈 브레그가 필라델피아에서 세운 세계신기록은,15 피트 9와 2분의 1 인치(4.81m)
일반상식,니콜라 아페르의 식품 보존방법의 원리를 발견한건 누구야,루이 파스퇴르
일반상식,폴 펠리오의 스승은 누구였어,실뱅 레비(Sylvain Lévi)와 에두아르 샤반(Édouard Chavannes)
일반상식,2011년 한국에서 가장 높은 건물이 어디였어,해운대 두산 위브 더 제니스
일반상식,노래 나라의 사람들이여를 누가 작곡했지,질 비뇨
일반상식,선조의 묘호가 뭐야,조(祖)
일반상식,최돈웅이 구속된 이유 말해줘,2002년 대한민국 대통령 선거에서 한나라당 이회창 후보를 위해 불법 대선자금을 기업으로부터 받은 혐의
일반상식,비라트는 무슨 뜻이야,거인
일반상식,엠마누엘이 운영하는 Kolone은 어떤 단체야,"난민 신청자, 이민자 자녀 등을 돕는 시민단체"
일반상식,필리프 드 부르고뉴의 생몰년도 정보를 찾아줄래,1389년 10월 – 1415년 10월 25일
일반상식,기원전 8세기 동조지아 왕국 이름이 뭐야,이베리아
일반상식,바베이도스를 처음 발견한 사람은 누구야,페드루 캄푸스
일반상식,이마동의 흑석동 풍경은 몇년도 작품이야,1968년
일반상식,스코틀랜드가 속국 지위에서 벗어날 수 있었던 역사적인 사건으로는 뭐가 있을까,스코틀랜드 독립 전쟁
일반상식,1998년 후카다 교코와 금성무가 함께 출연한 드라마는 뭐야,"신이시여, 조금만 더"
일반상식,파투의 데뷔전은 언제였지,2006년 11월 26일
일반상식,실제 역사에서 네로와 포페아의 결말은 뭐야,네로가 임신한 포페아를 살해한다
일반상식,독립노동자당은 어디서 지원 받았어,마르크스주의 통일노동자당(POUM)
일반상식,이라크는 왜 유엔의 경제제재를 받게 된거야,전쟁을 일으켰지만 모두 실패
일반상식,현재 영국에는 몇 개의 극장이 있어,"약 2,000개"
일반상식,힌두교가 소를 신성한 가축으로 여기는 이유가 뭐야,베다에 따르면 소는 인간으로 되기 전 단계
일반상식,바둑의 미래 서밋은 어디서 개최되었어,중국 저장(浙江)성 우전(烏鎭)의 인터넷 국제컨벤션센터
일반상식,연대 졸업학점이 몇이야,126 ~ 140학점
일반상식,메탈리퍼에서 튈런 크레인이 누구야,네바다의 지도자
일반상식,루씨고등여학교의 루씨는 누구의 이름을 따 온거야,학교 건축비를 기부한 미국인 선교사인 노스캐롤라이나교회 여선교회 회장 루시 커닝김
일반상식,MGM는 무슨 말의 약자야,메트로 골드윈 메이어
일반상식,동말레이시아에서 몇 년도에 독립기념일을 따로 만들었어,2012년
일반상식,데니시예바는 왜 죽었어,폐렴
일반상식,데라마투스가 타르퀴니아에서 창건한 왕조는,에트루스칸
일반상식,영국의 레딩 페스티벌은 몇년도부터 시작된 축제야,1961년
일반상식,베트남은 어느 나라의 식민지였지,프랑스
일반상식,아랍 국가 최초의 고문금지조약 비준 국가는,튀니지
일반상식,천하무적 야구단에서 어떤 경우 야구단이 해체되는 거야,11패를 하면 야구단이 해체된다
일반상식,디비지아 나치오날르는 몇 라운드의 경기를 치뤄야하지,총 33라운드
일반상식,소설 레 미제라블은 언제 쓰여졌어,1862년
일반상식,논설이나 소설에서 역사가 애국심의 원천이라고 주장한 사람은 누구야,신채호
일반상식,호수에 다니 오르티스 말도나도의 첫 프로팀이 어디였어,CD 수치테페케스
일반상식,안드레아스 오텐자머가 좋아하는 축구팀이 어디지,FC 바르셀로나와 FC 쾰른
일반상식,1997년 이전에는 몇 학년부터 영어를 배웠어,중학교 1학년
일반상식,SS 라치오의 최다 득점 기록을 보유한 사람은 누구야,148 골을 넣은 실비오 피올라
일반상식,오방번이 뭐야,"부처와 보살의 위덕을 나타내고 도량(道場)을 장엄, 공양하기 위하여 사용하는 장엄의식품의 하나"
일반상식,교황 인노첸시오 13세는 어떻게 교황으로 선출되게 됐어,스위스와 포르투갈에서 교황청 사절의 임무를 현명하게 수행한 공로
일반상식,배틀스타 갈락티카에서 인간의 모습을 한 사일런은,사일런 '6호'
일반상식,그룹 트랙스에서 베이시스트는 누구야,강정우
일반상식,뉴잉글랜드의 수도라고 불리는 곳이 어디야,보스턴
일반상식,타블로가 활동했던 밴드 이름이 뭐야,애니콜의 프로젝트 밴드
일반상식,도시 계획에서 고려해야하는 것이 뭐야,도시의 각종 기능에 대한 배치
일반상식,금성이 가지는 높이척도를 말해줄래,15.9 km
일반상식,도널드 골런의 아버지가 누구야,스펜서 골란
일반상식,아랄 해 작아지고 나서 어떻게 됐어,염도가 3배 이상 높아지고 수량이 70%이상 감소
일반상식,이자벨 브루스의 아버지는 어느 나라 귀족이야,스코틀랜드
일반상식,영화 듄을 만든 사람이 누구야,데이비드 린치
일반상식,뵤도인의 변경된 용도는,불교 사원
일반상식,드라마 닥터 후 시리즈가 시작된 연도는,1963년
일반상식,남조의 후신인 국가 이름은,대리국
일반상식,시라카와 촌 기후에 적응하기 위해 만들어진 집 형태는,갓쇼즈쿠리
일반상식,중국의 장제스가 사망한 년도는,1975년
일반상식,갯가재를 일본에서는 뭐라고 불러,샤코
일반상식,신문 페민이 처음 만들어진게 언제야,1946년
일반상식,체코의 방언은 어떻게 나뉘어,"체히 방언, 모라바 방언, 슬레스코 방언"
일반상식,원피스에 등장하는 적은,"해적이 많으나, 세계 정부의 해군, 정부의 첩보 기관, 한 나라의 원수 등"
일반상식,에어트랜 제트 커넥션 계약이 공식적으로 발표된 날짜는,2002년 9월 26일
일반상식,일본 실효 지배 영역중에서 최북단인 섬은 뭔지 알려줘,벤텐 섬
일반상식,동탁을 죽인 사람이 누구야,여포
일반상식,원주 목사 김제갑은 몇살에 부임했어,68세
일반상식,1852년 대선에서 누가 대통령으로 당선됐어,프랭클린 피어스
일반상식,성 김은 언제 미국 시민권을 취득했어,1980년
일반상식,보병연대 그로스도이칠란트는 원래 무슨 이름으로 창설되었어,위병연대 베를린
일반상식,건담 02호기에 탑승한 사람이 누구야,"윌리 캠프 중위가 탑승할 예정이었지만, 자쿠의 공격을 받아 결국, 민간인 소년 아무로 레이가 탑승"
일반상식,노동경제학에서 거시적인 경제관점이 필요한 문제는,실업과 임금 문제
일반상식,빌라노우 궁전이 일반에 공개된 년도는,1962년
일반상식,호락논쟁은 언제 생긴거야,18세기
일반상식,아프리카 연합은 어떤 언어를 공식어로 정했어,스페인어
일반상식,조르주 미츠는 2차 세계 대전이 끝나고 어떤 일을 했지,"사립 학교들을 창립하고 스포츠 의학에 관한 책을 썼으며, 테니스 코치를 맡았다."
일반상식,시 황무지를 발표한 시인은,엘리엇
일반상식,김일성 개명 전 이름이 뭐야,김성주
일반상식,몇 년도에 태양플레어가 처음 관측됐지,1859년
일반상식,베이징의 유명한 음식,오리구이
일반상식,RTL 텔레비전은 언제 개국했어,1984년 1월 2일 오후 5시 27분
일반상식,브라운아이드걸스의 첫 싱글 발매일이 언제야,2006년 5월 30일
일반상식,이반 스테파노비치 실라예프 출생지는,소련 러시아 소비에트 연방 사회주의 공화국의 니즈니노브고로트 주
일반상식,전숙경은 KBS 성우 몇 기 출신이야,29기
일반상식,해탈로 가는 네가지 길 중에 박티요가를 제외한 나머지 세가지 길은 뭐야,카르마 요가 · 라자 요가 · 즈나나 요가
일반상식,사우스샘프턴은 언제 창단됐어,1885년
일반상식,2009년에 징역형 받았던 어나니머스 단원이 누구야,19살의 미국인 드미트리 거즈너
일반상식,누가 양준혁 최다 홈런 기록을 깼어,이승엽
일반상식,이스타디우 다 루스의 위치를 알려줘.,"포르투갈, 리스본"
일반상식,동천왕은 어느 시대 왕이야,고구려
일반상식,현미를 많이 먹으면 부족한 성분이 뭐야,미네랄
일반상식,Dancing Diva는 어떤 특징을 가진 곡이야,아프리카 토속 음악의 리듬에 기반한 댄스곡
일반상식,찰링 코프만스가 몇 년도에 노벨상을 받았어,1975년
일반상식,민병두는 왜 두 번이나 감독에 갔어,대학 때 전두환 등의 신군부 세력에 항거하여 민주화운동을 선두에 서서 헤쳐 나가다
일반상식,공효진의 본관이 어디야,곡부 공씨
일반상식,호남고속선의 개통일을 알려줘,2015년 4월 2일
일반상식,포드 20M을 제조한 회사는,현대자동차
일반상식,에픽하이에 대해 알려줘,2002년부터 활동하고 있는 대한민국의 남성 힙합 3인조 그룹
일반상식,한국 최초의 급행열차는,융희호
일반상식,UEFA 컵위너스컵은 언제 폐지 됐어,1999년
일반상식,마티아스 야코프 슐라이덴과 함께 세포 이론을 발표한 사람이 누구지,테오도어 슈반
일반상식,서울 유나이티드 FC의 2016년 성적은 어땠어,리그 최종 순위 17위
일반상식,브이원의 본명은 뭐야,강현수
일반상식,스피카 데뷔일이 언제야,2012년 2월 9일
일반상식,1982년부터 10년간 덴마크는 어떤 정당이 집권했어,우파 정당
일반상식,프랭크 허버트는 언제 태어났어,1920년
일반상식,에리크 칸토나가 단장을 맡고 있는 팀을 알려줘,뉴욕 코스모스 축구단
일반상식,서흥 김씨 시조는 누구야,김보(金寶)
일반상식,드루지나 레기요노바 팀이 WKS 바르샤바로 이름을 바꾼 날짜는,1920년 3월 14일
일반상식,시모키타 선데이즈에서 유이카의 부모님은 뭘 하셔,여관을 경영
일반상식,소포클레스가 죽은 후 불린 칭호는 뭐야,덱시온
일반상식,저작권법은 언제 발효됐어,1987년
일반상식,중세의 가을 내용이 총 몇 장으로 구성되어 있지,22장
